Name,City,Country Code,Days,Start,End
the euro brisbane,Brisbane,AU,0,1200,1500
the euro brisbane,Brisbane,AU,0,1800,2300
the euro brisbane,Brisbane,AU,1,1200,1500
the euro brisbane,Brisbane,AU,1,1800,2300
the euro brisbane,Brisbane,AU,2,1200,1500
the euro brisbane,Brisbane,AU,2,1800,2300
the euro brisbane,Brisbane,AU,3,1200,1500
the euro brisbane,Brisbane,AU,3,1800,2300
the euro brisbane,Brisbane,AU,4,1200,1500
the euro brisbane,Brisbane,AU,4,1800,2300
the euro brisbane,Brisbane,AU,5,1800,2300
