Name,City,Country Code,Days,Start,End
hutong dumpling bar melbourne,Melbourne,AU,0,1100,1500
hutong dumpling bar melbourne,Melbourne,AU,0,1730,2230
hutong dumpling bar melbourne,Melbourne,AU,1,1100,1500
hutong dumpling bar melbourne,Melbourne,AU,1,1730,2230
hutong dumpling bar melbourne,Melbourne,AU,2,1100,1500
hutong dumpling bar melbourne,Melbourne,AU,2,1730,2230
hutong dumpling bar melbourne,Melbourne,AU,3,1100,1500
hutong dumpling bar melbourne,Melbourne,AU,3,1730,2230
hutong dumpling bar melbourne,Melbourne,AU,4,1100,1500
hutong dumpling bar melbourne,Melbourne,AU,4,1730,2330
hutong dumpling bar melbourne,Melbourne,AU,5,1100,1500
hutong dumpling bar melbourne,Melbourne,AU,5,1730,2330
hutong dumpling bar melbourne,Melbourne,AU,6,1100,1500
hutong dumpling bar melbourne,Melbourne,AU,6,1730,2230
