Name,City,Country Code,Days,Start,End
burger hero braddon,Braddon,AU,0,1100,1500
burger hero braddon,Braddon,AU,0,1700,2100
burger hero braddon,Braddon,AU,1,1100,1500
burger hero braddon,Braddon,AU,1,1700,2100
burger hero braddon,Braddon,AU,2,1100,1500
burger hero braddon,Braddon,AU,2,1700,2100
burger hero braddon,Braddon,AU,3,1100,1500
burger hero braddon,Braddon,AU,3,1700,2100
burger hero braddon,Braddon,AU,4,1100,1500
burger hero braddon,Braddon,AU,4,1700,2100
burger hero braddon,Braddon,AU,5,1100,1500
burger hero braddon,Braddon,AU,5,1700,2100
