Name,City,Country Code,Days,Start,End
julios west perth,West Perth,AU,0,0630,1030
julios west perth,West Perth,AU,0,1130,1500
julios west perth,West Perth,AU,0,1700,2230
julios west perth,West Perth,AU,1,0630,1030
julios west perth,West Perth,AU,1,1130,1500
julios west perth,West Perth,AU,1,1700,2230
julios west perth,West Perth,AU,2,0630,1030
julios west perth,West Perth,AU,2,1130,1500
julios west perth,West Perth,AU,2,1700,2330
julios west perth,West Perth,AU,3,0630,1030
julios west perth,West Perth,AU,3,1130,1500
julios west perth,West Perth,AU,3,1700,2230
julios west perth,West Perth,AU,4,0630,1030
julios west perth,West Perth,AU,4,1130,1500
julios west perth,West Perth,AU,4,1700,2230
julios west perth,West Perth,AU,5,0630,1030
julios west perth,West Perth,AU,5,1130,1500
julios west perth,West Perth,AU,5,1700,2230
julios west perth,West Perth,AU,6,0630,1030
julios west perth,West Perth,AU,6,1130,1500
julios west perth,West Perth,AU,6,1700,2230
