Name,City,Country Code,Days,Start,End
aisuru sushi perth,Perth,AU,0,1200,1430
aisuru sushi perth,Perth,AU,0,1800,2130
aisuru sushi perth,Perth,AU,1,1200,1430
aisuru sushi perth,Perth,AU,1,1800,2130
aisuru sushi perth,Perth,AU,2,1200,1430
aisuru sushi perth,Perth,AU,2,1800,2130
aisuru sushi perth,Perth,AU,3,1200,1430
aisuru sushi perth,Perth,AU,3,1800,2130
aisuru sushi perth,Perth,AU,4,1200,1430
aisuru sushi perth,Perth,AU,4,1800,2200
aisuru sushi perth,Perth,AU,5,1200,1500
aisuru sushi perth,Perth,AU,5,1800,2200
aisuru sushi perth,Perth,AU,6,1200,1500
aisuru sushi perth,Perth,AU,6,1800,2130
