Name,City,Country Code,Days,Start,End
baitong canberra,Canberra,AU,0,1100,1500
baitong canberra,Canberra,AU,0,1700,2200
baitong canberra,Canberra,AU,1,1100,1500
baitong canberra,Canberra,AU,1,1700,2200
baitong canberra,Canberra,AU,2,1100,1500
baitong canberra,Canberra,AU,2,1700,2200
baitong canberra,Canberra,AU,3,1100,1500
baitong canberra,Canberra,AU,3,1700,2200
baitong canberra,Canberra,AU,4,1100,1500
baitong canberra,Canberra,AU,4,1700,2200
baitong canberra,Canberra,AU,5,1100,1500
baitong canberra,Canberra,AU,5,1700,2200
baitong canberra,Canberra,AU,6,1100,1500
baitong canberra,Canberra,AU,6,1700,2200
