Name,City,Country Code,Days,Start,End
sak  sydney,Sydney,AU,0,1200,1500
sak  sydney,Sydney,AU,0,1730,2230
sak  sydney,Sydney,AU,1,1200,1500
sak  sydney,Sydney,AU,1,1730,2230
sak  sydney,Sydney,AU,2,1200,1500
sak  sydney,Sydney,AU,2,1730,2230
sak  sydney,Sydney,AU,3,1200,1500
sak  sydney,Sydney,AU,3,1730,2230
sak  sydney,Sydney,AU,4,1200,1500
sak  sydney,Sydney,AU,4,1730,2330
sak  sydney,Sydney,AU,5,1200,1500
sak  sydney,Sydney,AU,5,1730,2330
sak  sydney,Sydney,AU,6,1200,1500
sak  sydney,Sydney,AU,6,1700,2200
