Name,City,Country Code,Days,Start,End
juicy bao melbourne,Melbourne,AU,0,1130,1500
juicy bao melbourne,Melbourne,AU,0,1630,2130
juicy bao melbourne,Melbourne,AU,1,1130,1500
juicy bao melbourne,Melbourne,AU,1,1630,2130
juicy bao melbourne,Melbourne,AU,2,1130,1500
juicy bao melbourne,Melbourne,AU,2,1630,2130
juicy bao melbourne,Melbourne,AU,3,1130,1500
juicy bao melbourne,Melbourne,AU,3,1630,2130
juicy bao melbourne,Melbourne,AU,4,1130,1500
juicy bao melbourne,Melbourne,AU,4,1630,2200
juicy bao melbourne,Melbourne,AU,5,1130,1500
juicy bao melbourne,Melbourne,AU,5,1630,2200
juicy bao melbourne,Melbourne,AU,6,1130,1500
juicy bao melbourne,Melbourne,AU,6,1630,2130
