Name,City,Country Code,Days,Start,End
ruyi modern chinese melbourne,Melbourne,AU,0,1130,1500
ruyi modern chinese melbourne,Melbourne,AU,0,1730,2200
ruyi modern chinese melbourne,Melbourne,AU,1,1130,1500
ruyi modern chinese melbourne,Melbourne,AU,1,1730,2200
ruyi modern chinese melbourne,Melbourne,AU,2,1130,1500
ruyi modern chinese melbourne,Melbourne,AU,2,1730,2200
ruyi modern chinese melbourne,Melbourne,AU,3,1130,1500
ruyi modern chinese melbourne,Melbourne,AU,3,1730,2300
ruyi modern chinese melbourne,Melbourne,AU,4,1130,1500
ruyi modern chinese melbourne,Melbourne,AU,4,1730,2300
ruyi modern chinese melbourne,Melbourne,AU,5,1730,2300
