Name,City,Country Code,Days,Start,End
neptune palace restaurant sydney,Sydney,AU,0,1200,1500
neptune palace restaurant sydney,Sydney,AU,0,1700,2230
neptune palace restaurant sydney,Sydney,AU,1,1200,1500
neptune palace restaurant sydney,Sydney,AU,1,1700,2230
neptune palace restaurant sydney,Sydney,AU,2,1200,1500
neptune palace restaurant sydney,Sydney,AU,2,1700,2230
neptune palace restaurant sydney,Sydney,AU,3,1200,1500
neptune palace restaurant sydney,Sydney,AU,3,1700,2230
neptune palace restaurant sydney,Sydney,AU,4,1200,1500
neptune palace restaurant sydney,Sydney,AU,4,1700,2230
neptune palace restaurant sydney,Sydney,AU,5,1200,1500
neptune palace restaurant sydney,Sydney,AU,5,1700,2230
neptune palace restaurant sydney,Sydney,AU,6,1200,1500
neptune palace restaurant sydney,Sydney,AU,6,1700,2230
