Name,City,Country Code,Days,Start,End
market table new york,New York,US,0,1130,1430
market table new york,New York,US,0,1700,2200
market table new york,New York,US,1,1130,1430
market table new york,New York,US,1,1700,2300
market table new york,New York,US,2,1130,1430
market table new york,New York,US,2,1700,2300
market table new york,New York,US,3,1130,1430
market table new york,New York,US,3,1700,2300
market table new york,New York,US,4,1130,1430
market table new york,New York,US,4,1700,0000
market table new york,New York,US,5,1000,1500
market table new york,New York,US,5,1700,0000
market table new york,New York,US,6,1000,1430
market table new york,New York,US,6,1700,2200
