Name,City,Country Code,Days,Start,End
romeo and juliet washington,Washington,US,0,1130,1430
romeo and juliet washington,Washington,US,0,1700,2200
romeo and juliet washington,Washington,US,1,1130,1430
romeo and juliet washington,Washington,US,1,1700,2200
romeo and juliet washington,Washington,US,2,1130,1430
romeo and juliet washington,Washington,US,2,1700,2200
romeo and juliet washington,Washington,US,3,1130,1430
romeo and juliet washington,Washington,US,3,1700,2200
romeo and juliet washington,Washington,US,4,1130,1430
romeo and juliet washington,Washington,US,4,1700,2300
romeo and juliet washington,Washington,US,5,1100,1500
romeo and juliet washington,Washington,US,5,1700,2300
romeo and juliet washington,Washington,US,6,1100,1500
