Name,City,Country Code,Days,Start,End
ramen tenma san jose,San Jose,US,0,1800,2100
ramen tenma san jose,San Jose,US,1,1130,1400
ramen tenma san jose,San Jose,US,1,1800,2100
ramen tenma san jose,San Jose,US,3,1130,1400
ramen tenma san jose,San Jose,US,3,1800,2100
ramen tenma san jose,San Jose,US,4,1130,1400
ramen tenma san jose,San Jose,US,4,1800,2100
ramen tenma san jose,San Jose,US,5,1130,1400
ramen tenma san jose,San Jose,US,5,1730,2100
ramen tenma san jose,San Jose,US,6,1130,1400
ramen tenma san jose,San Jose,US,6,1730,2100
