Name,City,Country Code,Days,Start,End
benjys houston,Houston,US,0,1045,1500
benjys houston,Houston,US,0,1600,2100
benjys houston,Houston,US,1,1045,1500
benjys houston,Houston,US,1,1600,2200
benjys houston,Houston,US,2,1045,1500
benjys houston,Houston,US,2,1600,2200
benjys houston,Houston,US,3,1045,1500
benjys houston,Houston,US,3,1600,2200
benjys houston,Houston,US,4,1045,1500
benjys houston,Houston,US,4,1600,2300
benjys houston,Houston,US,5,1045,1500
benjys houston,Houston,US,5,1600,2300
benjys houston,Houston,US,6,1000,1500
benjys houston,Houston,US,6,1700,2100
