Name,City,Country Code,Days,Start,End
dc noodles washington,Washington,US,0,1130,1430
dc noodles washington,Washington,US,0,1700,2230
dc noodles washington,Washington,US,1,1130,1430
dc noodles washington,Washington,US,1,1700,2230
dc noodles washington,Washington,US,2,1130,1430
dc noodles washington,Washington,US,2,1700,2230
dc noodles washington,Washington,US,3,1130,1430
dc noodles washington,Washington,US,3,1700,2230
dc noodles washington,Washington,US,4,1130,2300
dc noodles washington,Washington,US,5,1130,2300
dc noodles washington,Washington,US,6,1130,2230
