Name,City,Country Code,Days,Start,End
surin west birmingham,Birmingham,US,0,1100,1430
surin west birmingham,Birmingham,US,0,1700,2130
surin west birmingham,Birmingham,US,1,1100,1430
surin west birmingham,Birmingham,US,1,1700,2130
surin west birmingham,Birmingham,US,2,1100,1430
surin west birmingham,Birmingham,US,2,1700,2130
surin west birmingham,Birmingham,US,3,1100,1430
surin west birmingham,Birmingham,US,3,1700,2130
surin west birmingham,Birmingham,US,4,1100,1430
surin west birmingham,Birmingham,US,4,1700,2230
surin west birmingham,Birmingham,US,5,1130,1430
surin west birmingham,Birmingham,US,5,1700,2230
surin west birmingham,Birmingham,US,6,1130,1430
surin west birmingham,Birmingham,US,6,1700,2130
