Name,City,Country Code,Days,Start,End
lotus of siam las vegas,Las Vegas,US,0,1100,1430
lotus of siam las vegas,Las Vegas,US,0,1730,2200
lotus of siam las vegas,Las Vegas,US,1,1100,1430
lotus of siam las vegas,Las Vegas,US,1,1730,2200
lotus of siam las vegas,Las Vegas,US,2,1100,1430
lotus of siam las vegas,Las Vegas,US,2,1730,2200
lotus of siam las vegas,Las Vegas,US,3,1100,1430
lotus of siam las vegas,Las Vegas,US,3,1730,2200
lotus of siam las vegas,Las Vegas,US,4,1100,1430
lotus of siam las vegas,Las Vegas,US,4,1730,2200
lotus of siam las vegas,Las Vegas,US,5,1730,2200
lotus of siam las vegas,Las Vegas,US,6,1730,2200
