Name,City,Country Code,Days,Start,End
miro spanish grille charlotte,Charlotte,US,0,1130,1400
miro spanish grille charlotte,Charlotte,US,0,1700,2200
miro spanish grille charlotte,Charlotte,US,1,1130,1400
miro spanish grille charlotte,Charlotte,US,1,1700,2200
miro spanish grille charlotte,Charlotte,US,2,1130,1400
miro spanish grille charlotte,Charlotte,US,2,1700,2200
miro spanish grille charlotte,Charlotte,US,3,1130,1400
miro spanish grille charlotte,Charlotte,US,3,1700,2200
miro spanish grille charlotte,Charlotte,US,4,1130,1400
miro spanish grille charlotte,Charlotte,US,4,1700,2300
miro spanish grille charlotte,Charlotte,US,5,1700,2300
miro spanish grille charlotte,Charlotte,US,6,1700,2200
