Name,City,Country Code,Days,Start,End
bellinis ristorante and bar birmingham,Birmingham,US,0,1100,1400
bellinis ristorante and bar birmingham,Birmingham,US,0,1600,2100
bellinis ristorante and bar birmingham,Birmingham,US,1,1100,1400
bellinis ristorante and bar birmingham,Birmingham,US,1,1600,2100
bellinis ristorante and bar birmingham,Birmingham,US,2,1100,1400
bellinis ristorante and bar birmingham,Birmingham,US,2,1600,2100
bellinis ristorante and bar birmingham,Birmingham,US,3,1100,1400
bellinis ristorante and bar birmingham,Birmingham,US,3,1600,2130
bellinis ristorante and bar birmingham,Birmingham,US,4,1100,1400
bellinis ristorante and bar birmingham,Birmingham,US,4,1600,2200
bellinis ristorante and bar birmingham,Birmingham,US,5,1100,2200
