Name,City,Country Code,Days,Start,End
no no burger san francisco,San Francisco,US,1,1100,1500
no no burger san francisco,San Francisco,US,1,1700,2100
no no burger san francisco,San Francisco,US,2,1100,1500
no no burger san francisco,San Francisco,US,2,1700,2100
no no burger san francisco,San Francisco,US,3,1100,1500
no no burger san francisco,San Francisco,US,3,1700,2100
no no burger san francisco,San Francisco,US,4,1100,1500
no no burger san francisco,San Francisco,US,4,1700,2100
no no burger san francisco,San Francisco,US,5,1100,1500
no no burger san francisco,San Francisco,US,5,1700,2100
no no burger san francisco,San Francisco,US,6,1100,1700
