Name,City,Country Code,Days,Start,End
bahn thai charlotte,Charlotte,US,0,1100,1430
bahn thai charlotte,Charlotte,US,0,1700,2130
bahn thai charlotte,Charlotte,US,1,1100,1430
bahn thai charlotte,Charlotte,US,1,1700,2130
bahn thai charlotte,Charlotte,US,2,1100,1430
bahn thai charlotte,Charlotte,US,2,1700,2130
bahn thai charlotte,Charlotte,US,3,1100,1430
bahn thai charlotte,Charlotte,US,3,1700,2130
bahn thai charlotte,Charlotte,US,4,1100,1430
bahn thai charlotte,Charlotte,US,4,1700,2130
bahn thai charlotte,Charlotte,US,5,1200,2130
