Name,City,Country Code,Days,Start,End
momosan ramen and sake new york,New York,US,0,1130,1500
momosan ramen and sake new york,New York,US,0,1700,2300
momosan ramen and sake new york,New York,US,1,1130,1500
momosan ramen and sake new york,New York,US,1,1700,2300
momosan ramen and sake new york,New York,US,2,1130,1500
momosan ramen and sake new york,New York,US,2,1700,2300
momosan ramen and sake new york,New York,US,3,1130,1500
momosan ramen and sake new york,New York,US,3,1700,2300
momosan ramen and sake new york,New York,US,4,1130,1500
momosan ramen and sake new york,New York,US,4,1700,2300
momosan ramen and sake new york,New York,US,5,1130,1500
momosan ramen and sake new york,New York,US,5,1700,2300
momosan ramen and sake new york,New York,US,6,1600,2200
