Name,City,Country Code,Days,Start,End
la catalana san jose,San Jose,US,0,1100,1400
la catalana san jose,San Jose,US,0,1700,2100
la catalana san jose,San Jose,US,1,1100,1400
la catalana san jose,San Jose,US,1,1700,2100
la catalana san jose,San Jose,US,2,1100,1400
la catalana san jose,San Jose,US,2,1700,2100
la catalana san jose,San Jose,US,3,1100,1400
la catalana san jose,San Jose,US,3,1700,2100
la catalana san jose,San Jose,US,4,1100,1400
la catalana san jose,San Jose,US,4,1700,2200
la catalana san jose,San Jose,US,5,1700,2200
