Name,City,Country Code,Days,Start,End
reign of thai phoenix,Phoenix,US,1,1130,1500
reign of thai phoenix,Phoenix,US,1,1700,2100
reign of thai phoenix,Phoenix,US,2,1130,1500
reign of thai phoenix,Phoenix,US,2,1700,2100
reign of thai phoenix,Phoenix,US,3,1130,1500
reign of thai phoenix,Phoenix,US,3,1700,2100
reign of thai phoenix,Phoenix,US,4,1130,1500
reign of thai phoenix,Phoenix,US,4,1700,2100
reign of thai phoenix,Phoenix,US,5,1200,1500
reign of thai phoenix,Phoenix,US,5,1700,2100
reign of thai phoenix,Phoenix,US,6,1200,1500
reign of thai phoenix,Phoenix,US,6,1700,2100
