Name,City,Country Code,Days,Start,End
duseks board and beer chicago,Chicago,US,0,1100,1500
duseks board and beer chicago,Chicago,US,0,1700,0200
duseks board and beer chicago,Chicago,US,1,1100,1500
duseks board and beer chicago,Chicago,US,1,1700,0200
duseks board and beer chicago,Chicago,US,2,1100,1500
duseks board and beer chicago,Chicago,US,2,1700,0200
duseks board and beer chicago,Chicago,US,3,1100,1500
duseks board and beer chicago,Chicago,US,3,1700,0200
duseks board and beer chicago,Chicago,US,4,1100,1500
duseks board and beer chicago,Chicago,US,4,1700,0200
duseks board and beer chicago,Chicago,US,5,0900,1500
duseks board and beer chicago,Chicago,US,5,1700,0300
duseks board and beer chicago,Chicago,US,6,0900,1500
duseks board and beer chicago,Chicago,US,6,1700,0200
