Name,City,Country Code,Days,Start,End
buttermilk southern kitchen san francisco,San Francisco,US,1,1130,1500
buttermilk southern kitchen san francisco,San Francisco,US,1,1730,2100
buttermilk southern kitchen san francisco,San Francisco,US,2,1130,1500
buttermilk southern kitchen san francisco,San Francisco,US,2,1730,2100
buttermilk southern kitchen san francisco,San Francisco,US,3,1130,1500
buttermilk southern kitchen san francisco,San Francisco,US,3,1730,2100
buttermilk southern kitchen san francisco,San Francisco,US,4,1130,1500
buttermilk southern kitchen san francisco,San Francisco,US,4,1730,2200
buttermilk southern kitchen san francisco,San Francisco,US,5,1000,1500
buttermilk southern kitchen san francisco,San Francisco,US,5,1800,2200
buttermilk southern kitchen san francisco,San Francisco,US,6,1000,1500
buttermilk southern kitchen san francisco,San Francisco,US,6,1800,2100
