Name,City,Country Code,Days,Start,End
navarros restaurant london,London,GB,0,1200,1500
navarros restaurant london,London,GB,0,1800,2200
navarros restaurant london,London,GB,1,1200,1500
navarros restaurant london,London,GB,1,1800,2200
navarros restaurant london,London,GB,2,1200,1500
navarros restaurant london,London,GB,2,1800,2200
navarros restaurant london,London,GB,3,1200,1500
navarros restaurant london,London,GB,3,1800,2200
navarros restaurant london,London,GB,4,1200,1500
navarros restaurant london,London,GB,4,1800,2200
navarros restaurant london,London,GB,5,1800,2200
