Name,City,Country Code,Days,Start,End
la petite maison london,London,GB,0,1200,1430
la petite maison london,London,GB,0,1800,2230
la petite maison london,London,GB,1,1200,1430
la petite maison london,London,GB,1,1800,2230
la petite maison london,London,GB,2,1200,1430
la petite maison london,London,GB,2,1800,2230
la petite maison london,London,GB,3,1200,1430
la petite maison london,London,GB,3,1800,2230
la petite maison london,London,GB,4,1200,1430
la petite maison london,London,GB,4,1800,2230
la petite maison london,London,GB,5,1230,1500
la petite maison london,London,GB,5,1800,2230
la petite maison london,London,GB,6,1230,1500
la petite maison london,London,GB,6,1830,2130
