Name,City,Country Code,Days,Start,End
est india london,London,GB,0,1200,1430
est india london,London,GB,0,1730,2300
est india london,London,GB,1,1200,1430
est india london,London,GB,1,1730,2300
est india london,London,GB,2,1200,1430
est india london,London,GB,2,1530,2300
est india london,London,GB,3,1200,1430
est india london,London,GB,3,1730,2300
est india london,London,GB,4,1200,1430
est india london,London,GB,4,1730,2300
est india london,London,GB,5,1200,1430
est india london,London,GB,5,1730,2300
est india london,London,GB,6,1200,1430
est india london,London,GB,6,1730,2230
